けんしゆつ,現出
しゆつたい,出来（しゅったい）
とうしよう,登場
しゆつそう,出走
あふりたし,あぶり出し
ほりおこし,掘り起こし
あまさらし,雨ざらし
ふきさらし,吹きさらし
かんさらし,寒ざらし
たなさらし,棚ざらし
けんしよう,顕彰
みえかくれ,見え隠れ
ひたかくし,ひた隠し
かくしたて,隠し立て
かみかくし,神隠し
くもかくれ,雲隠れ
かくしこと,隠し事
みそかこと,みそか事
ないしよう,内証
ないしよう,内情［～を探る］
かくやうら,楽屋裏
あんあんり,暗暗裏
ひこうかい,非公開
せんちよう,前兆・前徴
せんちよう,前兆
せんちよう,前徴
ちようこう,兆候・徴候
ちようこう,兆候
ちようこう,徴候
しようこう,症候
きつちよう,吉兆
すいしよう,瑞祥
しようすい,祥瑞
すいちよう,瑞兆
さんしゆつ,産出
ねんしゆつ,捻出
しゆつせい,出生（しゅっせい）
しよくはつ,触発
しよしゆつ,初出
しんしゆつ,新出
ひんしゆつ,頻出
そくしゆつ,続出
はいしゆつ,輩出
はつしよう,発祥
ちゆうこう,中興
ふつきゆう,復旧
もととおり,元どおり
ふくちよう,復調
しゆうふく,修復
いきかえり,生き返り
りはいはる,リバイバル
かえりさき,返り咲き
ふりかえし,ぶり返し
むしかえし,蒸し返し
ゆりかえし,揺り返し
さしもとし,差し戻し
しようしゆ,成就
せいきよう,成業
しゆつたい,出来（しゅったい）
しゆくせい,熟成
しようせい,醸成
てきあかり,出来上がり
ふせいりつ,不成立
みかんせい,未完成
しゆんせい,竣成
しゆんこう,竣工・竣功
しゆんこう,竣工
しゆんこう,竣功
くみあわせ,組み合わせ
ひとりたち,ひとり立ち
ちゆうりつ,中立
きようそん,共存（きょうそん）
きようそん,共存（きょうぞん）
りようりつ,両立
そうきよう,創業
しようせつ,常設
しゆうりつ,州立
ちようりつ,町立
きようりつ,共立
しゆきゆう,守旧
たいきゆう,耐久
つくりおき,作り置き
とつておき,取って置き
そつちのけ,そっちのけ
さんりゆう,残留
さはいはる,サバイバル
いきのこり,生き残り
うれのこり,売れ残り
かちのこり,勝ち残り
やけのこり,焼け残り
つみのこし,積み残し
かきのこし,書き残し
しようしつ,消失
しようしつ,焼失
しようほう,焼亡
りゆうしつ,流失
まつしよう,抹消
ちようけし,帳消し
しようめつ,消滅
めつきやく,滅却
ほつきやく,没却
しようさん,消散
かいしよう,解消
とりつふし,取りつぶし
はいきよう,廃業
はいしよう,廃娼
しよちゆう,除虫
しようきよ,消去
ふつしよく,払拭
しゆくせい,粛清
てつしゆう,撤収
とりはすし,取り外し
とりはらい,取り払い
きりはらい,切り払い
かりはらい,刈り払い
やきはらい,焼き払い
きやんせる,キャンセル
つかいすて,使い捨て
せんりやく,前略
こうりやく,後略
こほうぬき,ごぼう抜き
たようせい,多様性
しようたい,状態
せいしよう,性状
かいきよう,概況
きんしよう,近状・近情
きんしよう,近状
きんしよう,近情
きんきよう,近況
けんしよう,現状
けんきよう,現況
しつしよう,実状
しつきよう,実況
けんしよう,原状
ないしよう,内状
さんしよう,惨状
しつしよう,実情
ないしよう,内情［～を探る］
うちかふと,内かぶと
こくしよう,国情
せいしよう,政情
ふつしよう,物情
みんしよう,民情
てきしよう,敵状・敵情
てきしよう,敵状
てきしよう,敵情
しようたい,常態
きゆうたい,旧態
きようたい,業態
しようせい,情勢
ひようたい,病態
しようこう,症候
さつきよう,作況
きよきよう,漁況
せいきよう,政況
せんきよう,戦況
けいきよう,景況
こうきよう,好況
せいきよう,盛況
かつきよう,活況
こうけいき,好景気
からけいき,空景気
つけけいき,付け景気
まえけいき,前景気
きやくあし,客足
へつしよう,別状
へつしよう,別条
しようせい,勝勢
ふうちよう,風潮
あんりゆう,暗流
しようそく,消息
たたすまい,たたずまい
にゆあんす,ニュアンス
しようしゆ,情趣
きようしゆ,興趣
みようしゆ,妙趣
きせつかん,季節感
はらくあい,腹具合
てきくあい,出来具合
こうつこう,好都合
こうちよう,好調
せいちよう,正調
きいのおと,キーノート
しゆちよう,主調
かくちよう,格調
かいちよう,快調
けんちよう,堅調
へんちよう,変調
しつちよう,失調
あいちよう,哀調
たんちよう,単調
ものとおん,モノトーン
ていちよう,低調
らんちよう,乱調
こうちよう,硬調
なんちよう,軟調
しおかけん,塩加減
あしかけん,味加減
くちあたり,口当たり
はたさわり,肌触り
ろんちよう,論調
ことはつき,言葉付き
かたりくち,語り口
てきふてき,出来不出来
しようてき,上出来
ふせいせき,不成績
かわりはえ,代わり映え
むかしふう,昔風
いこくふう,異国風
うわつつら,上っ面
おもてむき,表向き
せけんてい,世間体（せけんてい）
きゆうかん,旧観
おとこふり,男振り
おんなふり,女振り
おとこまえ,男前
はなしふり,話し振り
みのこなし,身のこなし
からたつき,体付き
しゆうたい,醜態
ていたらく,体（てい）たらく
みらいそう,未来像
えつせんす,エッセンス
えれめんと,エレメント
はねしかけ,ばね仕掛け
めかにすむ,メカニズム
くみあわせ,組み合わせ
みせかまえ,店構え
せいしよう,性状
ふへんせい,普遍性
とくいせい,特異性
しようふん,性分
ひようしつ,氷質
しようしつ,上質
りようしつ,良質
うまれつき,生まれつき
しようとく,生得（しょうとく）
ほんしよう,本性（ほんしょう）
しゆうせい,習性
しゆうせい,獣性
あいしよう,相性・合い性
あいしよう,相性
あいしよう,合い性
むきふむき,向き不向き
せいしよう,性情
にんけんみ,人間味
おくにふり,お国ぶり
ところから,所柄
はしよから,場所柄
たいきゆう,耐久
たいしよく,耐食・耐蝕
たいしよく,耐食
たいしよく,耐蝕
ふねんせい,不燃性
かねんせい,可燃性
ふようせい,不溶性
かようせい,可溶性
ほしつせい,保湿性
きゆうせい,急性
しんわせい,親和性
りようせい,良性
ちゆうせい,中性
やこうせい,夜行性
きそうせい,帰巣性（きそうせい）
かのうせい,可能性
たとうせい,妥当性
くたいせい,具体性
こうりせい,合理性
とくちよう,特徴
とくちよう,特長
とくしよく,特色
ちようたん,長短
ちようしよ,長所
てめりつと,デメリット
しやくてん,弱点
たまにきす,玉にきず
なきところ,泣きどころ
そんしよく,遜色
ひととおり,一通り
せけんなみ,世間並み
つうしよう,通常
しようとう,常套
おさたまり,お定まり
すへしやる,スペシャル
はてんこう,破天荒
かたやふり,型破り
とくしせい,独自性
えつせんす,エッセンス
てきふてき,適不適
ふてきかく,不適格
ふてきにん,不適任
ふけんせん,不健全
ふけんこう,不健康
みすまつち,ミスマッチ
こともむき,子供向き
ふそうおう,不相応
やくふそく,役不足
なまはんか,生半可
よしわるし,よしわるし
はあもにい,ハーモニー
かいちよう,諧調
ふちようわ,不調和
ふとういつ,不統一
ふせいとん,不整頓
ふきんこう,不均衡
ふつりあい,不釣り合い
はくちゆう,伯仲
へいしゆん,平準
ひこうほう,非合法
ふこうかく,不合格
むちつしよ,無秩序
こちやませ,ごちゃまぜ
かたくすれ,型崩れ
らんみやく,乱脈
はんしよく,繁縟（はんじょく）
ふんきゆう,紛糾
みつともえ,三つどもえ
かんしよう,緩衝
なかたるみ,中だるみ
きんちよう,緊張
ちゆうみつ,稠密
きゆうつめ,ぎゅう詰め
しゆくやく,縮約
きんしゆく,緊縮
たんしゆん,単純
かんりやく,簡略
しゆんすい,純粋
しゆんせい,純正
きいつほん,生一本
ちようせつ,調節
ちようせい,調整
せいちよう,整調
ちようりつ,調律
ちようけん,調弦
とうちよう,同調
せいそろい,勢ぞろい
さしかけん,さじ加減
みすかけん,水加減
しんしやく,斟酌（しんしゃく）
さんしやく,参酌
くりあわせ,繰り合わせ
ちようこう,調合
とりあわせ,取り合わせ
はいきゆう,配球
あとしまつ,後始末
しりぬくい,しりぬぐい
しこしより,事後処理
しこしより,事故処理
さしさわり,差し障り
さしつかえ,差し支え
しようかい,障害
そんしよう,損傷
しんせんひ,真善美
ようしきひ,様式美
けいしきひ,形式美
てんとうひ,伝統美
けんこうひ,健康美
にくたいひ,肉体美
おとこまえ,男前
ふきりよう,不器量
しゆんすい,純粋
ほおたふる,ポータブル
けいきよく,荊棘（けいきょく）
なんしゆう,難渋
へのかつは,へのかっぱ
おちやのこ,お茶の子
ちようほう,重宝・調法
ちようほう,重宝
ちようほう,調法
こうつこう,好都合
せいしよう,清祥
しゆうせん,十全
きけんせい,危険性
きゆうはく,急迫
きんきゆう,緊急
つなわたり,綱渡り
かけつふち,がけっぷち
まつたなし,待ったなし
えねるきい,エネルギー
はかちから,ばか力
くそちから,くそ力
はくりよく,迫力
れいりよく,霊力
さいきよう,最強
せいきよう,精強
こうきよう,剛強
きようこう,強豪・強剛
きようこう,強豪
きようこう,強剛
しゆりよく,主力
かいりよく,外力
とくりよく,独力
せんりよく,全力
そうりよく,総力
しつりよく,実力
そこちから,底力
しやくたい,弱体
なんしやく,軟弱
せいしやく,脆弱（ぜいじゃく）
ようしやく,幼弱
きようれつ,強烈
おうりよく,応力
こうりよく,抗力
せきりよく,斥力
てんしよん,テンション
たんりよく,弾力
ようりよく,揚力
すいりよく,推力
ふんりよく,分力
こうりよく,合力（ごうりょく）
くうりよく,偶力
いんりよく,引力
とうりよく,動力
しんりよく,人力（じんりょく）
ちくりよく,畜力
すいりよく,水力
ふうりよく,風力
てんりよく,電力
ねんりよく,粘力
あつりよく,圧力
きようあつ,強圧
しゆうあつ,重圧
たいきあつ,大気圧
くうきあつ,空気圧
ほるてえし,ボルテージ
こくりよく,国力
みんりよく,民力
さいりよく,財力
きんりよく,金力
ふつりよく,物力
へいりよく,兵力
せんりよく,戦力
けんりよく,権力
ほうりよく,法力（ほうりょく）
せいりよく,勢力
せいりよく,精力
のうりよく,能力
たんりよく,胆力
かつりよく,活力
さいりよく,才力
ひつりよく,筆力
たいりよく,体力
あくりよく,握力
りよりよく,膂力（りょりょく）
そうりよく,走力
きんりよく,筋力
ろうりよく,労力
ほうりよく,暴力
わんりよく,腕力
ちようせい,町勢
きようせい,強勢
こうきのう,高機能
ふくさよう,副作用
はんさよう,反作用
こうしよう,恒常
ていしよう,定常
こうちよく,硬直
まんねりか,マンネリ化
ふかつはつ,不活発
ふあんてい,不安定
しちへんけ,七変化（しちへんげ）
きゆうへん,急変
ひようへん,豹変
はやかわり,早変わり
しようへん,小変
きゆうてん,急転
きやくてん,逆転
へんしよく,変色
おもかわり,面（おも）変わり
こえかわり,声変わり
かつはつか,活発化
かつせいか,活性化
ちんせいか,沈静化
かたるしす,カタルシス
しんこくか,深刻化
とろぬまか,泥沼化
きんたいか,近代化
かんれいか,慣例化
しよせいか,女性化
たんせいか,男性化
しようしか,少子化
てんさんか,電算化
とおなつか,ドーナツ化
けんしつか,現実化
しつようか,実用化
くうとうか,空洞化
けいかいか,形骸化
ひつくはん,ビッグバン［金融～］
かいしゆう,改宗
かいしよう,改称
かいりよう,改良
もようかえ,模様替え
しゆうせい,修正
かいしゆう,改修
しゆうてい,修訂
しゆうてい,重訂
やりなおし,やり直し
まきなおし,ま（蒔）き直し
まきなおし,蒔（ま）き直し
とりなおし,取り直し
たちなおり,立ち直り
まきかえし,巻き返し
かきなおし,書き直し
よみなおし,読み直し
いいなおし,言い直し
たてなおし,立て直し
こんはあと,コンバート
たたみかえ,畳替え
てんきよう,転業
てんしよく,転職
てんちよう,転調
いれちかい,入れ違い
いれかわり,入れ替わり
いりかわり,入り替わり
たいにゆう,代入
はいちかえ,配置換え
たいかわり,代替わり
かわりはん,代わり番
ことはしめ,事始め
ちやくしゆ,着手
ちやつこう,着工
そうきよう,創業
はつしよう,発祥
みせひらき,店開き
かいきよう,開業
かいきよく,開局
かいちよう,開庁
やまひらき,山開き
かわひらき,川開き
うみひらき,海開き
しまひらき,島開き
きつくおふ,キックオフ
のおたいむ,ノータイム
しゆうけつ,終結
しゆうけつ,終決
しゆうそく,終息
しかんきれ,時間切れ
しめくくり,締めくくり
かんりよう,完了
まんりよう,満了
とくりよう,読了
しゆんこう,竣工・竣功
しゆんこう,竣工
しゆんこう,竣功
こうりよう,校了
そうしまい,総じまい
はやしまい,早じまい
しゆうせん,終戦
のおさいと,ノーサイド
とうりよう,投了
しゆうえん,終演
しゆうえい,終映
へいちよう,閉庁
へいきよう,閉業
はいきよう,廃業
みせしまい,店じまい
そつきよう,卒業
けつちやく,決着
おとしまえ,落とし前
きゆうけい,休憩
きゆうそく,休息
なかやすみ,中休み
ちゆうたん,中断
ちゆうせつ,中絶
きゆうこう,休航
うんきゆう,運休
きゆうてん,休電
きゆうかい,休会
きゆうてい,休廷
きゆうこう,休校
きゆうえん,休園
きゆうこう,休講
きゆうかく,休学
きゆうかん,休刊
きゆうせん,休戦
